path,first_date,last_date
data/1896/prot-1896--ak--025-01.xml,1896-03-28,1896-04-02
data/1896/prot-1896--fk--002.xml,1896-01-21,1896-01-22
data/1897/prot-1897--ak--044.xml,1897-05-12,
data/1897/prot-1897--fk--013.xml,1897-03-17,1897-03-19
data/1898/prot-1898--ak--019.xml,1898-03-22,1898-03-25
data/1898/prot-1898--fk--034.xml,1898-05-08,1898-05-09
data/1899/prot-1899--ak--004.xml,1899-01-30,1899-02-04
data/1899/prot-1899--fk--006.xml,1899-02-10,1899-02-17
data/1900/prot-1900--ak--023.xml,1900-03-16,
data/1900/prot-1900--fk--020.xml,1900-03-21,
data/1901/prot-1901--ak--038.xml,1901-05-17,
data/1901/prot-1901--fk--007.xml,1901-02-12,1901-02-13
data/1902/prot-1902--ak--048.xml,1902-05-10,
data/1902/prot-1902--fk--027.xml,1902-04-26,
data/1903/prot-1903--ak--009.xml,1901-02-12,1901-02-13
data/1903/prot-1903--fk--016.xml,1903-02-21,
data/1904/prot-1904--ak--042.xml,1904-04-20,
data/1904/prot-1904--fk--017.xml,1904-02-17,
data/1905/prot-1905--ak--008.xml,1905-02-04,
data/1905/prot-1905--fk--047.xml,1905-05-16,
data/1906/prot-1906--ak--004.xml,1906-01-23,1906-01-24
data/1906/prot-1906--fk--019.xml,1906-01-23,1906-01-24
data/1907/prot-1907--ak--062.xml,1907-05-21,
data/1907/prot-1907--fk--022.xml,1907-03-28,
data/1908/prot-1908--ak--027.xml,1908-03-14,
data/1908/prot-1908--fk--053.xml,1908-05-15,
data/1909/prot-1909--ak--034.xml,1909-03-25,1909-03-27
data/1909/prot-1909--fk--025.xml,1909-04-02,
data/1910/prot-1910--ak--040.xml,1910-05-04,1910-05-06
data/1910/prot-1910--fk--006.xml,1910-02-10,1910-02-12
data/1911/prot-1911--ak--045.xml,1911-05-11,
data/1911/prot-1911--fk--014.xml,1911-03-18,1911-03-21
data/1912/prot-1912--ak--031.xml,1912-04-18,
