pdf_url,docDate
https://pdf.swedeb.se/riksdagen-records-pdf/1876/prot-1876--fk--033.pdf,1876-05-02
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--006.pdf,1877-02-07
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--058.pdf,1877-05-09
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-17
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-18
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-19
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-22
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-23
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-24
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-25
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--064.pdf,1877-05-31
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--fk--011.pdf,1877-03-01
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--fk--011.pdf,1877-03-02
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--fk--011.pdf,1877-03-03
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--fk--021.pdf,1877-04-09
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--fk--032.pdf,1877-04-28
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--ak--006.pdf,1878-02-08
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--ak--006.pdf,1878-02-09
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--ak--022.pdf,1878-03-16
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--ak--063.pdf,1878-05-18
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--ak--063.pdf,1878-05-19
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--fk--005.pdf,1878-02-02
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--fk--005.pdf,1878-02-04
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--fk--023.pdf,1878-03-30
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--fk--023.pdf,1878-04-02
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--fk--032.pdf,1878-04-27
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--ak--002.pdf,1879-01-22
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--ak--002.pdf,1879-01-23
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--ak--041.pdf,1879-04-23
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--ak--054.pdf,1879-05-07
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--fk--003.pdf,1879-01-25
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--fk--014.pdf,1879-03-05
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--fk--036.pdf,1879-05-06
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--ak--018.pdf,1880-03-06
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--ak--019.pdf,1880-03-08
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--ak--039.pdf,1880-04-14
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--fk--004.pdf,1880-01-28
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--fk--004.pdf,1880-01-31
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--fk--006.pdf,1880-02-14
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--fk--006.pdf,1880-02-18
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--fk--006.pdf,1880-02-20
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--fk--025.pdf,1880-04-09
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--ak--001.pdf,1881-01-17
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--ak--001.pdf,1881-01-18
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--ak--001.pdf,1881-01-19
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--ak--038.pdf,1881-04-06
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--ak--040.pdf,1881-04-11
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--023.pdf,1881-03-24
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--023.pdf,1881-03-26
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--037.pdf,1881-04-19
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--037.pdf,1881-04-20
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--037.pdf,1881-04-21
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--039.pdf,1881-04-23
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--039.pdf,1881-04-25
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--039.pdf,1881-04-26
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--039.pdf,1881-04-27
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--039.pdf,1881-04-28
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--039.pdf,1881-04-29
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--ak--001.pdf,1882-01-18
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--ak--006.pdf,1882-02-04
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--ak--006.pdf,1882-02-06
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--ak--039.pdf,1882-04-21
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--ak--039.pdf,1882-04-22
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--fk--025.pdf,1882-03-29
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--fk--045.pdf,1882-05-10
