version,year,avg_jaccard,accuracy,coverage
v99.99.99,1911,0.84375,0.625,1.0
v99.99.99,1912,0.8958333333333334,0.75,1.0
v99.99.99,1913,0.9047619047619048,0.75,1.0
v99.99.99,1914,0.8541666666666666,0.75,1.0
v99.99.99,1915,1.0,1.0,1.0
v99.99.99,1916,0.8541666666666666,0.75,1.0
v99.99.99,1917,0.875,0.75,1.0
v99.99.99,1918,0.8958333333333333,0.75,1.0
v99.99.99,1919,0.8770833333333333,0.625,1.0
v99.99.99,1920,0.9583333333333333,0.875,1.0
v99.99.99,1921,0.8750000000000001,0.75,1.0
v99.99.99,1922,0.9166666666666666,0.75,1.0
v99.99.99,2022,1.0,1.0,1.0
