file_path,gold_standard_date,xml_dates
data/1907/prot-1907--fk--055.xml,1907-05-29;1907-05-28,1907-05-27
data/1908/prot-1908--ak--023.xml,1908-03-10,1908-03-09
data/1908/prot-1908--ak--058.xml,1908-05-08,1908-05-09
data/1909/prot-1909--ak--054.xml,1909-05-05;1909-05-04,1909-05-03
data/1910/prot-1910--fk--006.xml,1910-02-10;1910-02-12,1910-02-11
data/1911/prot-1911--fk--014.xml,1911-03-21;1911-03-18,1911-03-19
data/1911/prot-1911--fk--024.xml,1911-05-03,1911-05-05
data/1911/prot-1911--fk--024.xml,1911-05-03,1911-05-08
data/1911/prot-1911--fk--032.xml,1911-05-24;1911-05-25;1911-05-23,1911-05-26
data/1912/prot-1912--fk--016.xml,1912-03-15;1912-03-13,1912-03-18
data/1913/prot-1913--ak--026.xml,1913-04-02;1913-04-03,1913-03-31
data/1913/prot-1913--fk--003.xml,1913-02-05;1913-02-01;1913-02-04;1913-01-29,1913-01-31
data/1913/prot-1913--fk--003.xml,1913-02-05;1913-02-01;1913-02-04;1913-01-29,1913-01-27
data/1913/prot-1913--fk--003.xml,1913-02-05;1913-02-01;1913-02-04;1913-01-29,1913-01-26
data/1914/prot-1914-b-ak--074.xml,1914-08-28,1914-08-29
data/1916/prot-1916--fk--012.xml,1916-02-04,1916-02-01
data/1918/prot-1918--fk--005.xml,1918-01-26;1918-01-25,1918-01-23
data/1918/prot-1918--fk--030.xml,1918-05-10;1918-05-08,1918-05-03
data/1918/prot-1918--fk--030.xml,1918-05-10;1918-05-08,1918-05-05
data/1919/prot-1919--ak--032.xml,1919-04-04;1919-04-05;1919-04-08,1919-04-07
data/1919/prot-1919--ak--032.xml,1919-04-04;1919-04-05;1919-04-08,1919-04-03
data/1919/prot-1919--fk--002.xml,1919-01-17;1919-01-20;1919-01-16,1919-01-10
data/1919/prot-1919--fk--037.xml,1919-05-16;1919-05-14,1919-07-01
data/1920/prot-1920--ak--020.xml,1920-02-24;1920-02-25,1920-02-20
data/1921/prot-1921--ak--038.xml,1921-05-04,1921-05-05
data/1921/prot-1921--fk--026.xml,1921-04-22;1921-04-20,1921-04-18
data/1922/prot-1922--fk--002.xml,1922-01-16;1922-01-17,1922-01-15
data/1923/prot-1923--ak--002.xml,1923-01-16;1923-01-15,1923-01-12
data/1923/prot-1923--ak--011.xml,1923-02-17;1923-02-16,1923-02-15
data/1924/prot-1924--ak--018.xml,1924-03-11;1924-03-08,1924-03-12
data/1924/prot-1924--ak--018.xml,1924-03-11;1924-03-08,1924-03-14
data/1924/prot-1924--ak--034.xml,1924-05-10;1924-05-13,1924-05-12
data/1924/prot-1924--ak--035.xml,1924-05-14,1924-05-15
data/1924/prot-1924--fk--012.xml,1924-02-16;1924-02-19,1924-02-15
data/1925/prot-1925--ak--021.xml,1925-03-20;1925-03-18,1925-03-15
data/1925/prot-1925--ak--021.xml,1925-03-20;1925-03-18,1925-03-17
data/1925/prot-1925--ak--021.xml,1925-03-20;1925-03-18,1925-03-13
data/1925/prot-1925--fk--006.xml,1925-01-31;1925-02-01;1925-01-28,1925-01-26
data/1926/prot-1926--ak--003.xml,1926-01-18,1926-01-16
data/1926/prot-1926--fk--028.xml,1926-04-24;1926-04-23,1926-04-22
data/1927/prot-1927--fk--032.xml,1927-05-19,1927-05-18
data/1928/prot-1928--ak--020.xml,1928-03-24,1928-03-23
data/1928/prot-1928--ak--020.xml,1928-03-24,1928-03-26
data/1928/prot-1928--ak--020.xml,1928-03-24,1928-03-21
data/1928/prot-1928--fk--020.xml,1928-03-20;1928-03-21,1928-03-18
data/1929/prot-1929--fk--001.xml,1929-01-10;1929-01-12;1929-01-11,1929-01-08
data/1930/prot-1930--ak--005.xml,1930-01-20;1930-01-21,1930-01-18
data/1930/prot-1930--fk--009.xml,1930-02-15;1930-02-18,1930-02-10
data/1930/prot-1930--fk--009.xml,1930-02-15;1930-02-18,1930-02-13
data/1931/prot-1931--fk--016.xml,1931-03-04;1931-03-06;1931-03-03,1931-03-02
data/1933/prot-1933--ak--030.xml,1933-04-04;1933-04-05,1933-04-03
data/1933/prot-1933--fk--021.xml,1933-03-17;1933-03-15,1933-03-16
data/1933/prot-1933--fk--021.xml,1933-03-17;1933-03-15,1933-03-13
data/1933/prot-1933--fk--029.xml,1933-04-20,1933-04-18
data/1935/prot-1935--ak--024.xml,1935-04-03;1935-04-02,1935-07-01
data/1935/prot-1935--ak--024.xml,1935-04-03;1935-04-02,1935-04-01
data/1935/prot-1935--ak--036.xml,1935-05-25,1935-05-23
data/1935/prot-1935--fk--006.xml,1935-02-04;1935-02-05,1935-02-01
data/1935/prot-1935--fk--006.xml,1935-02-04;1935-02-05,1935-02-02
data/1935/prot-1935--fk--026.xml,1935-04-25;1935-04-27;1935-04-26,1935-04-23
data/1936/prot-1936--ak--035.xml,1936-05-23;1936-05-22,1936-05-25
data/1936/prot-1936--fk--018.xml,1936-03-18;1936-03-20,1936-03-17
data/1936/prot-1936--fk--019.xml,1936-03-21;1936-03-26,1936-03-20
data/1938/prot-1938--fk--026.xml,1938-04-08;1938-04-05;1938-04-06,1938-04-03
data/1941/prot-1941--ak--013.xml,1941-03-05,1941-03-08
data/1942/prot-1942--ak--018.xml,1942-05-13;1942-05-16;1942-05-12,1942-05-15
data/1948/prot-1948--ak--011.xml,1948-03-13;1948-03-16,1948-03-17
data/1950/prot-1950--ak--014.xml,1950-04-25;1950-04-22;1950-04-26,1950-04-23
data/1951/prot-1951--ak--034.xml,1951-12-04;1951-12-01;1951-12-05,1951-12-03
data/1951/prot-1951--fk--019.xml,1951-05-15;1951-05-12;1951-05-16,1951-05-13
data/1952/prot-1952--fk--026.xml,1952-11-05,1952-11-03
data/1953/prot-1953--ak--011.xml,1953-03-21;1953-03-24;1953-03-25,1953-03-23
data/1953/prot-1953--fk--030.xml,1953-11-25;1953-11-24;1953-11-28,1953-11-23
data/1958/prot-1958-b-ak--008.xml,1958-10-17;1958-10-21;1958-10-16,1958-10-14
data/1958/prot-1958-b-ak--008.xml,1958-10-17;1958-10-21;1958-10-16,1958-10-08
data/1958/prot-1958-b-ak--008.xml,1958-10-17;1958-10-21;1958-10-16,1958-10-04
data/1961/prot-1961--ak--026.xml,1961-10-18;1961-10-17;1961-10-10;1961-10-16,1961-10-03
data/1962/prot-1962--fk--014.xml,1962-04-04;1962-03-30,1962-04-03
data/1965/prot-1965--ak--021.xml,1965-05-04;1965-05-05,1965-05-03
data/1966/prot-1966--ak--002.xml,1966-01-18;1966-01-19,1966-01-14
data/1966/prot-1966--ak--038.xml,1966-12-12;1966-12-13,1966-12-15
data/1967/prot-1967--ak--038.xml,1967-10-27;1967-10-26,1967-10-20
data/1967/prot-1967--fk--046.xml,1967-11-23;1967-11-24,1967-11-22
data/1968/prot-1968--fk--021.xml,1968-05-02;1968-05-03,1968-04-29
data/1969/prot-1969--ak--036.xml,1969-11-14;1969-11-13;1969-11-12;1969-11-11,1969-11-21
data/1970/prot-1970--ak--004.xml,1970-01-27;1970-01-28,1970-01-23
data/1970/prot-1970--ak--004.xml,1970-01-27;1970-01-28,1970-02-04
data/1970/prot-1970--ak--037.xml,1970-11-10;1970-11-11;1970-11-12;1970-11-13,1970-11-20
data/1972/prot-1972--006.xml,1972-01-18,1972-01-13
data/1972/prot-1972--006.xml,1972-01-18,1972-01-20
data/1972/prot-1972--006.xml,1972-01-18,1972-01-19
data/1972/prot-1972--006.xml,1972-01-18,1972-01-21
data/1972/prot-1972--006.xml,1972-01-18,1972-01-14
data/1973/prot-1973--077.xml,1973-05-02,1973-05-03
data/1974/prot-1974--101.xml,1974-10-16,1974-10-17
data/1974/prot-1974--101.xml,1974-10-16,1974-10-15
data/1974/prot-1974--101.xml,1974-10-16,1974-10-18
data/1975/prot-1975--018.xml,1975-02-07,1975-02-12
data/1975/prot-1975--018.xml,1975-02-07,1975-02-06
data/1975/prot-1975--024.xml,1975-02-21,1975-02-13
data/1975/prot-1975--024.xml,1975-02-21,1975-02-20
data/1975/prot-1975--024.xml,1975-02-21,1975-02-14
data/1975/prot-1975--024.xml,1975-02-21,1975-04-16
data/197879/prot-197879--040.xml,1978-11-24,1978-11-29
data/197879/prot-197879--040.xml,1978-11-24,1978-11-27
data/197879/prot-197879--040.xml,1978-11-24,1978-11-28
data/197879/prot-197879--040.xml,1978-11-24,1978-11-23
data/197980/prot-197980--158.xml,1980-05-30,1980-06-03
data/197980/prot-197980--158.xml,1980-05-30,1980-06-02
data/198081/prot-198081--091.xml,1981-03-09,1981-03-03
data/198081/prot-198081--091.xml,1981-03-09,1981-03-10
data/198081/prot-198081--091.xml,1981-03-09,1981-03-06
data/198081/prot-198081--091.xml,1981-03-09,1981-03-04
data/198485/prot-198485--113.xml,1985-04-10,1985-04-09
data/198586/prot-198586--003.xml,1985-10-02,1985-10-03
data/198586/prot-198586--003.xml,1985-10-02,1985-09-30
data/198586/prot-198586--003.xml,1985-10-02,1985-10-01
data/198586/prot-198586--006.xml,1985-10-09,1985-10-10
data/198586/prot-198586--006.xml,1985-10-09,1985-10-08
data/198586/prot-198586--006.xml,1985-10-09,1985-10-14
data/198687/prot-198687--045.xml,1986-12-09,1986-12-08
data/198687/prot-198687--045.xml,1986-12-09,1986-12-15
data/198687/prot-198687--067.xml,1987-02-09,1987-02-06
data/198687/prot-198687--067.xml,1987-02-09,1987-02-11
data/198687/prot-198687--067.xml,1987-02-09,1987-02-10
data/198687/prot-198687--067.xml,1987-02-09,1987-03-10
data/198687/prot-198687--077.xml,1987-03-02,1987-02-26
data/198687/prot-198687--077.xml,1987-03-02,1987-02-25
data/198687/prot-198687--077.xml,1987-03-02,1987-03-04
data/198687/prot-198687--077.xml,1987-03-02,1987-02-20
data/198687/prot-198687--077.xml,1987-03-02,1987-03-03
data/198788/prot-198788--048.xml,1988-01-11,1988-01-13
data/198788/prot-198788--048.xml,1988-01-11,1988-01-14
data/198788/prot-198788--048.xml,1988-01-11,1988-01-15
data/198788/prot-198788--048.xml,1988-01-11,1987-01-07
data/198788/prot-198788--048.xml,1988-01-11,1988-01-12
data/198788/prot-198788--116.xml,1988-05-06,1988-05-09
data/198889/prot-198889--043.xml,1988-12-12,1988-12-09
data/198889/prot-198889--063.xml,1989-02-08,1989-02-06
data/198889/prot-198889--063.xml,1989-02-08,1989-02-07
data/199293/prot-199293--127.xml,1993-06-21,1992-01-01
