version,year,lev_mean,lev_first_q,lev_third_q,wer_mean,wer_first_q,wer_third_q,cer_mean,cer_first_q,cer_third_q,perfect_match,token_ratio,char_ratio
v99.99.99,1867,0.7619047619047619,0.0,1.0,0.044825809111523396,0.0,0.08333333333333333,0.010903151528151528,0.0,0.013888888888888888,0.7142857142857143,0.047619047619047616,0.23809523809523808
v99.99.99,1868,1.6666666666666667,0.0,3.0,0.09493894993894994,0.0,0.17803030303030304,0.02381414855797157,0.0,0.043478260869565216,0.5333333333333333,0.03333333333333333,0.43333333333333335
v99.99.99,1869,1.6666666666666667,0.0,1.5,0.08868282714436561,0.0,0.07142857142857142,0.043222978938766615,0.0,0.02054794520547945,0.7435897435897436,0.05128205128205128,0.20512820512820512
v99.99.99,1870,2.0,0.75,3.0,0.12286324786324787,0.038461538461538464,0.16666666666666666,0.028103864734299516,0.01,0.043025362318840576,0.3333333333333333,0.0,0.6666666666666666
v99.99.99,1871,7.916666666666667,0.0,3.0,0.20015151515151516,0.0,0.18636363636363637,0.11966924735153935,0.0,0.04123858447488584,0.5833333333333334,0.08333333333333333,0.3333333333333333
v99.99.99,1872,1.0,0.0,1.5,0.05128205128205129,0.0,0.07692307692307693,0.014084507042253521,0.0,0.02112676056338028,0.6666666666666666,0.0,0.3333333333333333
v99.99.99,1873,1.0,0.0,3.0,0.05555555555555555,0.0,0.08333333333333333,0.014615470601386092,0.0,0.041666666666666664,0.6666666666666666,0.1111111111111111,0.2222222222222222
v99.99.99,1875,0.9166666666666666,0.0,1.5,0.06409331409331409,0.0,0.11904761904761904,0.013567578772802652,0.0,0.022916666666666665,0.6666666666666666,0.08333333333333333,0.25
v99.99.99,1876,1.1666666666666667,0.0,3.0,0.08166987333654001,0.0,0.18181818181818182,0.019654072950568105,0.0,0.044145469833928946,0.6111111111111112,0.1111111111111111,0.2777777777777778
v99.99.99,1877,0.6,0.0,0.0,0.046296296296296294,0.0,0.0,0.010497358567162903,0.0,0.0,0.8,0.06666666666666667,0.13333333333333333
v99.99.99,1878,0.16666666666666666,0.0,0.0,0.016666666666666666,0.0,0.0,0.0024875621890547263,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
v99.99.99,1879,2.0,0.0,3.0,0.13254769921436588,0.0,0.2,0.029673306149163234,0.0,0.04477611940298507,0.3333333333333333,0.0,0.6666666666666666
v99.99.99,1880,0.5,0.0,0.0,0.03333333333333333,0.0,0.0,0.007936507936507936,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
v99.99.99,1881,0.6666666666666666,0.0,0.0,0.020370370370370372,0.0,0.0,0.010295398748713075,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0
v99.99.99,1882,1.0,0.0,2.25,0.06944444444444443,0.0,0.125,0.018166035353535354,0.0,0.03825757575757576,0.6666666666666666,0.0,0.3333333333333333
v99.99.99,1883,1.3333333333333333,0.0,3.0,0.07744107744107745,0.0,0.16666666666666666,0.019916336370152648,0.0,0.04411764705882353,0.5555555555555556,0.0,0.4444444444444444
v99.99.99,1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v99.99.99,1886,0.09523809523809523,0.0,0.0,0.013605442176870748,0.0,0.0,0.0015360983102918587,0.0,0.0,0.9523809523809523,0.047619047619047616,0.0
v99.99.99,1887,0.6666666666666666,0.0,0.0,0.04700854700854701,0.0,0.0,0.01034151034151034,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
v99.99.99,1888,1.5,0.0,2.25,0.3047979797979798,0.0,0.4,0.14066109626926565,0.0,0.16188524590163933,0.3333333333333333,0.5,0.16666666666666666
v99.99.99,1889,4.333333333333333,0.0,3.0,0.1117283950617284,0.0,0.2,0.06636937941285767,0.0,0.043478260869565216,0.6666666666666666,0.1111111111111111,0.2222222222222222
v99.99.99,1890,1.3333333333333333,0.0,2.5,0.09511784511784512,0.0,0.17803030303030304,0.021267540832758225,0.0,0.03975155279503106,0.5,0.16666666666666666,0.3333333333333333
v99.99.99,1891,2.2222222222222223,0.0,2.0,0.16963283629950296,0.0,0.14285714285714285,0.07341269841269843,0.0,0.031746031746031744,0.5555555555555556,0.3333333333333333,0.1111111111111111
v99.99.99,1892,3.6666666666666665,0.25,2.5,0.12811447811447813,0.022727272727272728,0.15277777777777776,0.06044932079414838,0.004166666666666667,0.0384012539184953,0.3333333333333333,0.5,0.16666666666666666
v99.99.99,1893,0.7777777777777778,0.0,1.0,0.054152637485970816,0.0,0.08333333333333333,0.013553855235066116,0.0,0.016129032258064516,0.6666666666666666,0.1111111111111111,0.2222222222222222
v99.99.99,1895,1.0,0.0,2.0,0.07575757575757576,0.0,0.18181818181818182,0.015335907303482839,0.0,0.03389830508474576,0.6666666666666666,0.0,0.3333333333333333
v99.99.99,1896,2.857142857142857,0.0,2.0,0.12873000015857158,0.0,0.16666666666666666,0.05131121174782273,0.0,0.05714285714285714,0.47619047619047616,0.38095238095238093,0.14285714285714285
v99.99.99,1897,2.4,0.0,2.5,0.10809190809190809,0.0,0.16783216783216784,0.039086908418044776,0.0,0.046778303603931565,0.6666666666666666,0.06666666666666667,0.26666666666666666
v99.99.99,1898,0.5,0.0,0.0,0.041666666666666664,0.0,0.0,0.01047008547008547,0.0,0.0125,0.8333333333333334,0.0,0.16666666666666666
v99.99.99,1899,0.4444444444444444,0.0,0.0,0.028205128205128202,0.0,0.0,0.011622659833765548,0.0,0.015873015873015872,0.7777777777777778,0.2222222222222222,0.0
v99.99.99,1900,1.3333333333333333,0.0,2.75,0.16203703703703703,0.0,0.24305555555555555,0.03181818181818182,0.0,0.05227272727272727,0.5,0.0,0.5
v99.99.99,1901,1.2222222222222223,0.0,3.0,0.09388327721661055,0.0,0.18181818181818182,0.020570286195286194,0.0,0.045454545454545456,0.4444444444444444,0.2222222222222222,0.3333333333333333
v99.99.99,1902,0.3333333333333333,0.0,0.5,0.030303030303030304,0.0,0.045454545454545456,0.005376344086021505,0.0,0.008064516129032258,0.6666666666666666,0.3333333333333333,0.0
v99.99.99,1903,0.6666666666666666,0.0,1.0,0.030303030303030304,0.0,0.045454545454545456,0.009523809523809523,0.0,0.014285714285714285,0.6666666666666666,0.0,0.3333333333333333
v99.99.99,1904,1.4444444444444444,0.0,3.0,0.1013986013986014,0.0,0.18181818181818182,0.022521656381679214,0.0,0.04411764705882353,0.4444444444444444,0.2222222222222222,0.3333333333333333
v99.99.99,1906,0.75,0.0,0.5,0.05185185185185185,0.0,0.05,0.012275985663082438,0.0,0.008064516129032258,0.75,0.08333333333333333,0.16666666666666666
v99.99.99,1907,0.9583333333333334,0.0,1.0,0.07295574795574795,0.0,0.10277777777777777,0.0232218186008027,0.0,0.03296547821165818,0.5416666666666666,0.3333333333333333,0.125
v99.99.99,1908,2.0,0.0,3.0,0.10138047138047138,0.0,0.17424242424242425,0.033879307292341475,0.0,0.043560606060606064,0.6,0.13333333333333333,0.26666666666666666
v99.99.99,1909,1.5555555555555556,0.0,3.0,0.10754769921436588,0.0,0.18181818181818182,0.023719853452534922,0.0,0.046875,0.4444444444444444,0.2222222222222222,0.3333333333333333
v99.99.99,1910,0.6666666666666666,0.0,0.0,0.04545454545454545,0.0,0.0,0.00980392156862745,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
v99.99.99,1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v99.99.99,1912,1.8333333333333333,0.25,2.75,0.12638888888888888,0.03125,0.22083333333333333,0.029104498896805442,0.004032258064516129,0.04625579001544004,0.3333333333333333,0.3333333333333333,0.3333333333333333
v99.99.99,1913,1.0,0.0,1.5,0.09523809523809523,0.0,0.14285714285714285,0.01639344262295082,0.0,0.02459016393442623,0.6666666666666666,0.0,0.3333333333333333
v99.99.99,1914,0.3333333333333333,0.0,0.75,0.029040404040404044,0.0,0.0625,0.004975124378109453,0.0,0.011194029850746268,0.6666666666666666,0.3333333333333333,0.0
v99.99.99,1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v99.99.99,1916,1.4,0.0,3.0,0.10675324675324675,0.0,0.19090909090909092,0.024205313535739934,0.0,0.045454545454545456,0.4666666666666667,0.2,0.3333333333333333
v99.99.99,1917,1.1428571428571428,0.0,2.0,0.1047996976568405,0.0,0.2,0.01929519200119126,0.0,0.03389830508474576,0.5238095238095238,0.2857142857142857,0.19047619047619047
v99.99.99,1918,2.9166666666666665,0.75,3.75,0.17121212121212123,0.06818181818181818,0.2589285714285714,0.04616196997921651,0.011194029850746268,0.05961538461538462,0.25,0.16666666666666666,0.5833333333333334
v99.99.99,1919,1.0,0.0,2.0,0.11861471861471862,0.0,0.18181818181818182,0.01625380269448066,0.0,0.03389830508474576,0.5555555555555556,0.1111111111111111,0.3333333333333333
v99.99.99,1920,1.0,0.0,1.0,0.08939085605752273,0.0,0.1111111111111111,0.019814245138425154,0.0,0.031746031746031744,0.5555555555555556,0.3333333333333333,0.1111111111111111
v99.99.99,1921,0.3333333333333333,0.0,0.0,0.024305555555555552,0.0,0.0,0.005110630110630111,0.0,0.0,0.8333333333333334,0.08333333333333333,0.08333333333333333
